縣市別,鄉鎮別,醫事機構代碼,醫事機構名稱,機構地址,電話區域號碼,電話號碼
臺北市,松山區,5901010058,安郁藥局,台北市松山區八德路３段１２巷５１弄１６號１樓,02,25774551
臺北市,松山區,5901010076,榮星藥局,台北市松山區南京東路４段１３３巷５弄１號,02,27124696
臺北市,松山區,5901010085,安世藥局,台北市松山區南京東路４段１３３巷５弄９號,02,27133405
臺北市,松山區,5901010094,明一藥局,台北市松山區南京東路５段５９巷２８弄２５號１樓,02,27691654
臺北市,松山區,5901010165,傑安藥局,台北市松山區八德路２段４３７巷７弄８號１樓,02,27524155
臺北市,松山區,5901010174,仁弘藥局,台北市松山區民生東路３段１１３巷２５弄６號１樓,02,27136764
臺北市,松山區,5901010192,益華藥局,台北市松山區民生東路５段１３８巷６號,02,27624898
臺北市,松山區,5901010272,德靈藥局,台北市松山區富錦街５４８號,02,27646998
臺北市,松山區,5901010290,健全藥局,台北市松山區民權東路３段１０３巷２０號,02,27128293
臺北市,松山區,5901010496,瑞昌大藥局,台北市松山區民權東路３段１０３巷１０號,02,27151881
臺北市,松山區,5901010576,合生藥局,台北市松山區南京東路５段１２３巷４５號１樓,02,27602932
臺北市,松山區,5901011662,上允藥局,台北市松山區民生東路５段７８號,02,27696905
臺北市,松山區,5901011699,建東大藥局,台北市松山區三民路９７號１樓,02,27676237
臺北市,松山區,5901011733,和諧藥局,台北市松山區民生東路５段１４８號２樓,02,27568580
臺北市,松山區,5901011751,德恩藥師藥局,台北市松山區八德路２段３７８號１樓,02,27782829
臺北市,松山區,5901011760,延壽藥局,台北市松山區延壽街３２７號,02,27685159
臺北市,松山區,5901011975,萬泰藥局,台北市松山區敦化北路２２２巷３８號,02,27135891
臺北市,松山區,5901012203,博荃藥局,台北市松山區敦化北路４巷５１號,02,27316736
臺北市,松山區,5901012383,德川中西藥局,台北市松山區八德路４段９６號,02,27683399
臺北市,松山區,5901012409,家音藥局,台北市松山區民生東路５段７３號,02,37652080
臺北市,松山區,5901012454,敦北藥局,台北市松山區民生東路４段８０巷５號,02,27155691
臺北市,松山區,5901012490,中美藥局,台北市松山區富錦街５３１號,02,27627468
臺北市,松山區,5901012507,康麗藥局,台北市松山區南京東路３段３０３巷２０號,02,27174117
臺北市,松山區,5901012516,惠登藥局,台北市松山區民生東路３段１３０巷３４號,02,25472432
臺北市,松山區,5901012561,松田藥局,台北市松山區延吉街９－６號,02,25798005
臺北市,松山區,5901012570,予志藥局,台北市松山區富錦街５２１號,02,27623522
臺北市,松山區,5901012598,婕登藥局,台北市松山區八德路４段６９９號,02,27482893
臺北市,松山區,5901012632,晨安藥局,台北市松山區八德路３段１５５巷２０弄２號,02,25798460
臺北市,松山區,5901012650,銘德藥局,台北市松山區八德路２段３６６巷２８號,02,27511833
臺北市,松山區,5901012669,政昇藥局,台北市松山區南京東路５段３５６號１３樓,02,27560286
臺北市,松山區,5901012712,立康大藥局,台北市松山區八德路四段２－１號,02,27471749
臺北市,松山區,5901012749,躍獅松和藥局,台北市松山區八德路四段６６６－１號,02,27492569
臺北市,松山區,5901012758,京東藥局,台北市松山區南京東路五段２７２號,02,27679503
臺北市,松山區,5901012767,晨新藥局,台北市松山區八德路４段９１巷１－１號,02,27422951
臺北市,松山區,5901012918,躍獅京華藥局,台北市松山區南京東路５段７１號,02,27666508
臺北市,松山區,5901012963,綠之家藥局,台北市松山區延壽街４２８號　　　　　　　　　,02,25289595
臺北市,松山區,5901013004,德安藥局,台北市松山區八德路３段１９５號２樓,02,25782670
臺北市,松山區,5901013095,康采藥局,台北市松山區南京東路５段２９１巷１７－２號,02,27670271
臺北市,松山區,5901013120,誠康中西藥局,台北市松山區南京東路５段５９巷３１弄４３號,02,27619679
臺北市,松山區,5901013139,慶昌藥局,台北市松山區延吉街２９號,02,25770820
臺北市,松山區,5901013148,唯康藥局,台北市松山區八德路３段２１１號,02,25775000
臺北市,松山區,5901013157,西松健康人生藥局,台北市松山區南京東路５段２９１巷７號,02,27687807
臺北市,松山區,5901013175,台北長庚維康藥局,台北市松山區敦化北路１９９巷２弄１號,02,27199386
臺北市,松山區,5901013200,專品南京藥局,台北市松山區南京東路４段７３號,02,25147685
臺北市,松山區,5901013246,芝欣藥局,台北市松山區八德路３段１４８號,02,25706677
臺北市,松山區,5901013264,佑翔藥局,台北市松山區民生東路５段９５號,02,87875050
臺北市,松山區,5901013308,立赫敦北藥局,台北市松山區敦化北路２２２巷２０號,02,27199277
臺北市,松山區,5901013317,延壽盛康藥局,台北市松山區延壽街１１１號,02,25182229
臺北市,松山區,5901013326,富景藥局,台北市松山區三民路１４５號,02,27455666
臺北市,松山區,5901013344,健康活力藥師藥局,台北市松山區民生東路５段２１９號,02,27455556
臺北市,松山區,5901013362,啄木鳥藥局,台北市松山區八德路４段２０９號、２１１號（１、２層）,02,27422413
臺北市,松山區,5901013371,玖田藥局,台北市松山區八德路４段６５５號,02,27666578
臺北市,松山區,5901013399,一安正昇藥局,台北市松山區南京東路５段３４８號,02,27680993
臺北市,松山區,5901013406,美優康藥局,台北市松山區民生東路４段１１７之１號,02,27152319
臺北市,松山區,5901013433,杏一延吉藥局,臺北市松山區延吉街３２號,02,25798450
臺北市,松山區,5901013442,松山八德藥局,臺北市松山區八德路２段４００號,02,27782773
臺北市,松山區,5901013451,新德大藥局,臺北市松山區饒河街２０４號,02,27673402
臺北市,松山區,5901013460,光點延新藥局,台北市松山區延壽街１０１號,02,27667795
臺北市,松山區,5901013488,欣生藥局,臺北市松山區民生東路５段１３８巷１號,02,27567611
臺北市,松山區,5901013497,民生盛康藥局,臺北市松山區民生東路５段２０４號,02,27460758
臺北市,松山區,5901013504,杏一台北長庚藥局,臺北市松山區敦化北路１９９巷２弄３號,02,25149463
臺北市,松山區,5901013513,立赫民生藥局,臺北市松山區民生東路４段６８號,02,27139200
臺北市,松山區,5901013522,大樹松山藥局,臺北市松山區民生東路５段１０７號,02,27562226
臺北市,大安區,5901020296,百立藥局,台北市大安區和平東路３段２２８巷６６號１樓,02,27327211
臺北市,大安區,5901020303,宏恩藥局,台北市大安區大安路１段１８１號,02,27000956
臺北市,大安區,5901020376,靜園藥局,台北市大安區和平東路２段１１８巷５７之１號,02,27336390
臺北市,大安區,5901020385,延吉大藥局,台北市大安區延吉街１５３號１樓,02,27819227
臺北市,大安區,5901020465,杏友藥局,台北市大安區復興南路２段１５１巷２５號,02,27079451
臺北市,大安區,5901020554,師大藥局,台北市大安區師大路９９號１樓,02,23623479
臺北市,大安區,5901020563,施寶藥局,台北市大安區安東街５０－５號１樓,02,27114175
臺北市,大安區,5901020590,燕福藥局,台北市大安區羅斯福路３段２８３巷１４弄１４號之３,02,23627307
臺北市,大安區,5901020616,龍護大藥局,台北市大安區大安路１段２２４巷７號１Ｆ,02,23250686
臺北市,大安區,5901020634,新廣生藥局,台北市大安區仁愛路４段３４號,02,27071221
臺北市,大安區,5901020652,寶德藥局,台北市大安區樂利路１０５號１Ｆ,02,27364240
臺北市,大安區,5901020661,泰佑藥局,台北市大安區安和路２段７２號１Ｆ,02,27056841
臺北市,大安區,5901020670,杏安堂藥局,台北市大安區忠孝東路４段７７巷３０號１樓,02,27517636
臺北市,大安區,5901020689,四維藥局,台北市大安區復興南路２段１５１巷４３號１樓,02,27094222
臺北市,大安區,5901020698,羅斯福藥局,台北市大安區羅斯福路３段２８３巷９弄３號,02,23699606
臺北市,大安區,5901020732,赫慶藥局,台北市大安區瑞安街２０８巷１１弄５號１樓,02,27063497
臺北市,大安區,5901020787,吉成藥局,台北市大安區泰順街７號,02,23636475
臺北市,大安區,5901020858,順天堂藥局,台北市大安區龍泉街９６號,02,23627149
臺北市,大安區,5901020876,大興藥局,台北市大安區通化街３９巷５０弄１５號１樓,02,27053369
臺北市,大安區,5901020901,辰安藥局,台北市大安區大安路１段３１巷２８號,02,27119536
臺北市,大安區,5901021248,永誠藥局,台北市大安區忠孝東路４段２１６巷２５之１號,02,27520273
臺北市,大安區,5901021346,正昌藥局,台北市大安區通化街３８巷９號１樓,02,27540070
臺北市,大安區,5901021382,建如藥局,台北市大安區和平東路３段２２８巷１１號１Ｆ,02,27331456
臺北市,大安區,5901021408,生百藥局,台北市大安區臨江街１２４號,02,27371011
臺北市,大安區,5901022521,台安藥局,台北市大安區和平東路２段３５３號１樓,02,27549099
臺北市,大安區,5901022601,生光藥局,台北市大安區忠孝東路３段２４８巷２號,02,27780862
臺北市,大安區,5901022898,永康藥局,台北市大安區麗水街６之２號,02,23279362
